sample_id,animal_id,teaching_class,source_label,label_id,start_unixtime,end_unixtime,start_datetime,end_datetime,sampling_rate_hz,window_points,source_acceleration_csv,source_feature_csv
OM-000047,OM1803,stationary,stationary,200,1536442911.0,1536442912.96,2018-09-08 21:41:51.000,2018-09-08 21:41:52.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000048,OM1803,stationary,stationary,200,1536442912.0,1536442913.96,2018-09-08 21:41:52.000,2018-09-08 21:41:53.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000049,OM1803,stationary,stationary,200,1536442913.0,1536442914.96,2018-09-08 21:41:53.000,2018-09-08 21:41:54.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000050,OM1803,stationary,stationary,200,1536442914.0,1536442915.96,2018-09-08 21:41:54.000,2018-09-08 21:41:55.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000051,OM1803,stationary,stationary,200,1536442915.0,1536442916.96,2018-09-08 21:41:55.000,2018-09-08 21:41:56.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000052,OM1803,stationary,stationary,200,1536442916.0,1536442917.96,2018-09-08 21:41:56.000,2018-09-08 21:41:57.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000053,OM1803,flight_cruising,flight_cruising,401,1536442921.0,1536442922.96,2018-09-08 21:42:01.000,2018-09-08 21:42:02.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000054,OM1803,flight_cruising,flight_cruising,401,1536442922.0,1536442923.96,2018-09-08 21:42:02.000,2018-09-08 21:42:03.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000055,OM1803,flight_cruising,flight_cruising,401,1536442923.0,1536442924.96,2018-09-08 21:42:03.000,2018-09-08 21:42:04.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000056,OM1803,flight_cruising,flight_cruising,401,1536442924.0,1536442925.96,2018-09-08 21:42:04.000,2018-09-08 21:42:05.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000057,OM1803,flight_cruising,flight_cruising,401,1536442925.0,1536442926.96,2018-09-08 21:42:05.000,2018-09-08 21:42:06.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000058,OM1803,flight_cruising,flight_cruising,401,1536442926.0,1536442927.96,2018-09-08 21:42:06.000,2018-09-08 21:42:07.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000059,OM1803,flight_cruising,flight_cruising,401,1536442927.0,1536442928.96,2018-09-08 21:42:07.000,2018-09-08 21:42:08.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000060,OM1803,flight_cruising,flight_cruising,401,1536442928.0,1536442929.96,2018-09-08 21:42:08.000,2018-09-08 21:42:09.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000061,OM1803,flight_cruising,flight_cruising,401,1536442929.0,1536442930.96,2018-09-08 21:42:09.000,2018-09-08 21:42:10.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000062,OM1803,flight_cruising,flight_cruising,401,1536442930.0,1536442931.96,2018-09-08 21:42:10.000,2018-09-08 21:42:11.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000063,OM1803,flight_cruising,flight_cruising,401,1536442931.0,1536442932.96,2018-09-08 21:42:11.000,2018-09-08 21:42:12.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000064,OM1803,flight_cruising,flight_cruising,401,1536442932.0,1536442933.96,2018-09-08 21:42:12.000,2018-09-08 21:42:13.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000065,OM1803,flight_cruising,flight_cruising,401,1536442933.0,1536442934.96,2018-09-08 21:42:13.000,2018-09-08 21:42:14.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000066,OM1803,flight_cruising,flight_cruising,401,1536442934.0,1536442935.96,2018-09-08 21:42:14.000,2018-09-08 21:42:15.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000067,OM1803,flight_cruising,flight_cruising,401,1536442935.0,1536442936.96,2018-09-08 21:42:15.000,2018-09-08 21:42:16.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000068,OM1803,flight_cruising,flight_cruising,401,1536442936.0,1536442937.96,2018-09-08 21:42:16.000,2018-09-08 21:42:17.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000069,OM1803,flight_cruising,flight_cruising,401,1536442937.0,1536442938.96,2018-09-08 21:42:17.000,2018-09-08 21:42:18.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000070,OM1803,flight_cruising,flight_cruising,401,1536442938.0,1536442939.96,2018-09-08 21:42:18.000,2018-09-08 21:42:19.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000071,OM1803,flight_cruising,flight_cruising,401,1536442939.0,1536442940.96,2018-09-08 21:42:19.000,2018-09-08 21:42:20.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000072,OM1803,flight_cruising,flight_cruising,401,1536442940.0,1536442941.96,2018-09-08 21:42:20.000,2018-09-08 21:42:21.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000073,OM1803,flight_cruising,flight_cruising,401,1536442941.0,1536442942.96,2018-09-08 21:42:21.000,2018-09-08 21:42:22.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000074,OM1803,flight_cruising,flight_cruising,401,1536442942.0,1536442943.96,2018-09-08 21:42:22.000,2018-09-08 21:42:23.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000075,OM1803,flight_cruising,flight_cruising,401,1536442943.0,1536442944.96,2018-09-08 21:42:23.000,2018-09-08 21:42:24.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000076,OM1803,flight_cruising,flight_cruising,401,1536442944.0,1536442945.96,2018-09-08 21:42:24.000,2018-09-08 21:42:25.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000077,OM1803,flight_cruising,flight_cruising,401,1536442945.0,1536442946.96,2018-09-08 21:42:25.000,2018-09-08 21:42:26.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000078,OM1803,flight_cruising,flight_cruising,401,1536442946.0,1536442947.96,2018-09-08 21:42:26.000,2018-09-08 21:42:27.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000079,OM1803,flight_cruising,flight_cruising,401,1536442947.0,1536442948.96,2018-09-08 21:42:27.000,2018-09-08 21:42:28.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000080,OM1803,flight_cruising,flight_cruising,401,1536442948.0,1536442949.96,2018-09-08 21:42:28.000,2018-09-08 21:42:29.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000081,OM1803,flight_cruising,flight_cruising,401,1536442949.0,1536442950.96,2018-09-08 21:42:29.000,2018-09-08 21:42:30.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000082,OM1803,flight_cruising,flight_cruising,401,1536442950.0,1536442951.96,2018-09-08 21:42:30.000,2018-09-08 21:42:31.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000083,OM1803,flight_cruising,flight_cruising,401,1536442951.0,1536442952.96,2018-09-08 21:42:31.000,2018-09-08 21:42:32.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000084,OM1803,flight_cruising,flight_cruising,401,1536442952.0,1536442953.96,2018-09-08 21:42:32.000,2018-09-08 21:42:33.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000085,OM1803,flight_cruising,flight_cruising,401,1536442953.0,1536442954.96,2018-09-08 21:42:33.000,2018-09-08 21:42:34.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000086,OM1803,flight_cruising,flight_cruising,401,1536442954.0,1536442955.96,2018-09-08 21:42:34.000,2018-09-08 21:42:35.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000087,OM1803,flight_cruising,flight_cruising,401,1536442955.0,1536442956.96,2018-09-08 21:42:35.000,2018-09-08 21:42:36.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000088,OM1803,flight_cruising,flight_cruising,401,1536442956.0,1536442957.96,2018-09-08 21:42:36.000,2018-09-08 21:42:37.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000089,OM1803,flight_cruising,flight_cruising,401,1536442957.0,1536442958.96,2018-09-08 21:42:37.000,2018-09-08 21:42:38.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000090,OM1803,flight_cruising,flight_cruising,401,1536442958.0,1536442959.96,2018-09-08 21:42:38.000,2018-09-08 21:42:39.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000091,OM1803,flight_cruising,flight_cruising,401,1536442959.0,1536442960.96,2018-09-08 21:42:39.000,2018-09-08 21:42:40.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000092,OM1803,flight_cruising,flight_cruising,401,1536442960.0,1536442961.96,2018-09-08 21:42:40.000,2018-09-08 21:42:41.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000093,OM1803,flight_cruising,flight_cruising,401,1536442961.0,1536442962.96,2018-09-08 21:42:41.000,2018-09-08 21:42:42.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000094,OM1803,flight_cruising,flight_cruising,401,1536442962.0,1536442963.96,2018-09-08 21:42:42.000,2018-09-08 21:42:43.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000095,OM1803,flight_cruising,flight_cruising,401,1536442963.0,1536442964.96,2018-09-08 21:42:43.000,2018-09-08 21:42:44.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000096,OM1803,flight_cruising,flight_cruising,401,1536442964.0,1536442965.96,2018-09-08 21:42:44.000,2018-09-08 21:42:45.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000097,OM1803,flight_cruising,flight_cruising,401,1536442965.0,1536442966.96,2018-09-08 21:42:45.000,2018-09-08 21:42:46.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
OM-000098,OM1803,flight_cruising,flight_cruising,401,1536442966.0,1536442967.96,2018-09-08 21:42:46.000,2018-09-08 21:42:47.960,25,50,data\datasets\preprocessed_data\omizunagidori\OM1803.csv,data\datasets\logbot_data\feature_extraction\acc_features\omizunagidori\OM1803.csv
